entry,at,order
"""Spenny @ cu8vqwqurV"" posts a big blind of 20",2021-10-29T02:01:18.817Z,163547287881708
"""arash @ huBdniBdCU"" posts a small blind of 10",2021-10-29T02:01:18.817Z,163547287881707
"Your hand is 2♥, A♥",2021-10-29T02:01:18.817Z,163547287881704
"Player stacks: #1 ""geereooeregee @ G4RdqDSm6Z"" (660) | #2 ""Jonah @ KdrqU8EIQ1"" (2400) | #7 ""arash @ huBdniBdCU"" (2350) | #9 ""Spenny @ cu8vqwqurV"" (3540) | #10 ""Stevo @ aL5upxHjBA"" (370)",2021-10-29T02:01:18.817Z,163547287881701
"-- starting hand #85  (No Limit Texas Hold'em) (dealer: ""Jonah @ KdrqU8EIQ1"") --",2021-10-29T02:01:18.817Z,163547287881700
"-- ending hand #84 --",2021-10-29T02:01:12.783Z,163547287278303
"""Stevo @ aL5upxHjBA"" shows a 2♦, J♥.",2021-10-29T02:01:12.783Z,163547287278302
"""Spenny @ cu8vqwqurV"" collected 880 from pot with Three of a Kind, A's (combination: A♥, A♣, A♦, K♦, 10♥)",2021-10-29T02:01:12.783Z,163547287278301
"""Spenny @ cu8vqwqurV"" shows a 2♣, A♥.",2021-10-29T02:01:12.783Z,163547287278300
"""Spenny @ cu8vqwqurV"" calls 300",2021-10-29T02:01:11.972Z,163547287197200
"""Stevo @ aL5upxHjBA"" raises to 300",2021-10-29T02:01:04.525Z,163547286452500
"""Spenny @ cu8vqwqurV"" bets 80",2021-10-29T02:01:00.494Z,163547286049400
"River: A♣, 6♥, K♦, A♦ [10♥]",2021-10-29T02:00:54.537Z,163547285453700
"""Stevo @ aL5upxHjBA"" calls 40",2021-10-29T02:00:53.723Z,163547285372300
"""Spenny @ cu8vqwqurV"" bets 40",2021-10-29T02:00:09.925Z,163547280992500
"Turn: A♣, 6♥, K♦ [A♦]",2021-10-29T02:00:04.378Z,163547280437800
"""arash @ huBdniBdCU"" folds",2021-10-29T02:00:03.568Z,163547280356800
"""Jonah @ KdrqU8EIQ1"" folds",2021-10-29T02:00:02.541Z,163547280254100
"""Stevo @ aL5upxHjBA"" calls 20",2021-10-29T02:00:01.686Z,163547280168600
"""Spenny @ cu8vqwqurV"" bets 20",2021-10-29T02:00:00.595Z,163547280059500
"""arash @ huBdniBdCU"" checks",2021-10-29T01:59:58.792Z,163547279879200
"""Jonah @ KdrqU8EIQ1"" checks",2021-10-29T01:59:57.562Z,163547279756200
"Flop:  [A♣, 6♥, K♦]",2021-10-29T01:59:55.251Z,163547279525100
"""arash @ huBdniBdCU"" calls 40",2021-10-29T01:59:54.441Z,163547279444100
"""Jonah @ KdrqU8EIQ1"" calls 40",2021-10-29T01:59:51.563Z,163547279156300
"""geereooeregee @ G4RdqDSm6Z"" folds",2021-10-29T01:59:50.342Z,163547279034200
"""Stevo @ aL5upxHjBA"" calls 40",2021-10-29T01:59:48.268Z,163547278826800
"""Spenny @ cu8vqwqurV"" raises to 40",2021-10-29T01:59:47.301Z,163547278730100
"""arash @ huBdniBdCU"" posts a big blind of 20",2021-10-29T01:59:41.108Z,163547278110808
"""Jonah @ KdrqU8EIQ1"" posts a small blind of 10",2021-10-29T01:59:41.108Z,163547278110807
"Your hand is 8♠, 9♥",2021-10-29T01:59:41.108Z,163547278110804
"Player stacks: #1 ""geereooeregee @ G4RdqDSm6Z"" (660) | #2 ""Jonah @ KdrqU8EIQ1"" (2440) | #7 ""arash @ huBdniBdCU"" (2390) | #9 ""Spenny @ cu8vqwqurV"" (3060) | #10 ""Stevo @ aL5upxHjBA"" (770)",2021-10-29T01:59:41.108Z,163547278110801
"-- starting hand #84  (No Limit Texas Hold'em) (dealer: ""geereooeregee @ G4RdqDSm6Z"") --",2021-10-29T01:59:41.108Z,163547278110800
"""Spenny @ cu8vqwqurV"" shows a 8♥, 9♣.",2021-10-29T01:59:35.960Z,163547277596000
"-- ending hand #83 --",2021-10-29T01:59:34.581Z,163547277458102
"""arash @ huBdniBdCU"" collected 160 from pot with Two Pair, A's & Q's (combination: A♣, A♠, Q♣, Q♦, 9♦)",2021-10-29T01:59:34.581Z,163547277458101
"""arash @ huBdniBdCU"" shows a 8♠, A♣.",2021-10-29T01:59:34.581Z,163547277458100
"""Jonah @ KdrqU8EIQ1"" calls 20",2021-10-29T01:59:33.771Z,163547277377100
"""geereooeregee @ G4RdqDSm6Z"" folds",2021-10-29T01:59:30.817Z,163547277081700
"""Stevo @ aL5upxHjBA"" folds",2021-10-29T01:59:29.965Z,163547276996500
"""Spenny @ cu8vqwqurV"" calls 20",2021-10-29T01:59:29.061Z,163547276906100
"""arash @ huBdniBdCU"" bets 20",2021-10-29T01:59:27.801Z,163547276780100
"""Jonah @ KdrqU8EIQ1"" checks",2021-10-29T01:59:25.250Z,163547276525000
"""geereooeregee @ G4RdqDSm6Z"" checks",2021-10-29T01:59:24.388Z,163547276438800
"River: 7♣, Q♣, Q♦, A♠ [9♦]",2021-10-29T01:59:22.820Z,163547276282000
"""Stevo @ aL5upxHjBA"" checks",2021-10-29T01:59:22.009Z,163547276200900
"""Spenny @ cu8vqwqurV"" checks",2021-10-29T01:59:21.069Z,163547276106900
"""arash @ huBdniBdCU"" checks",2021-10-29T01:59:20.204Z,163547276020400
"""Jonah @ KdrqU8EIQ1"" checks",2021-10-29T01:59:17.986Z,163547275798600
"""geereooeregee @ G4RdqDSm6Z"" checks",2021-10-29T01:59:16.987Z,163547275698700
"Turn: 7♣, Q♣, Q♦ [A♠]",2021-10-29T01:59:15.922Z,163547275592200
"""Stevo @ aL5upxHjBA"" checks",2021-10-29T01:59:15.110Z,163547275511000
"""Spenny @ cu8vqwqurV"" checks",2021-10-29T01:59:14.202Z,163547275420200
"""arash @ huBdniBdCU"" checks",2021-10-29T01:59:09.901Z,163547274990100
"""Jonah @ KdrqU8EIQ1"" checks",2021-10-29T01:59:08.821Z,163547274882100
"""geereooeregee @ G4RdqDSm6Z"" checks",2021-10-29T01:59:07.957Z,163547274795700
"Flop:  [7♣, Q♣, Q♦]",2021-10-29T01:59:03.330Z,163547274333000
"""Jonah @ KdrqU8EIQ1"" checks",2021-10-29T01:59:02.522Z,163547274252200
"""geereooeregee @ G4RdqDSm6Z"" calls 20",2021-10-29T01:59:01.647Z,163547274164700
"""Stevo @ aL5upxHjBA"" calls 20",2021-10-29T01:58:59.836Z,163547273983600
"""Spenny @ cu8vqwqurV"" calls 20",2021-10-29T01:58:58.570Z,163547273857000
"""arash @ huBdniBdCU"" calls 20",2021-10-29T01:58:55.349Z,163547273534900
"""Jonah @ KdrqU8EIQ1"" posts a big blind of 20",2021-10-29T01:58:53.737Z,163547273373708
"""geereooeregee @ G4RdqDSm6Z"" posts a small blind of 10",2021-10-29T01:58:53.737Z,163547273373707
"Your hand is 8♠, A♣",2021-10-29T01:58:53.737Z,163547273373704
"Player stacks: #1 ""geereooeregee @ G4RdqDSm6Z"" (680) | #2 ""Jonah @ KdrqU8EIQ1"" (2480) | #7 ""arash @ huBdniBdCU"" (2270) | #9 ""Spenny @ cu8vqwqurV"" (3100) | #10 ""Stevo @ aL5upxHjBA"" (790)",2021-10-29T01:58:53.737Z,163547273373701
"-- starting hand #83  (No Limit Texas Hold'em) (dealer: ""Stevo @ aL5upxHjBA"") --",2021-10-29T01:58:53.737Z,163547273373700
"-- ending hand #82 --",2021-10-29T01:58:50.815Z,163547273081502
"""Jonah @ KdrqU8EIQ1"" collected 200 from pot",2021-10-29T01:58:50.815Z,163547273081501
"Uncalled bet of 80 returned to ""Jonah @ KdrqU8EIQ1""",2021-10-29T01:58:50.815Z,163547273081500
"""geereooeregee @ G4RdqDSm6Z"" folds",2021-10-29T01:58:50.009Z,163547273000900
"""Jonah @ KdrqU8EIQ1"" bets 80",2021-10-29T01:58:42.030Z,163547272203000
"""geereooeregee @ G4RdqDSm6Z"" checks",2021-10-29T01:58:38.540Z,163547271854000
"River: 7♥, 9♥, Q♣, K♣ [4♥]",2021-10-29T01:58:36.882Z,163547271688200
"""geereooeregee @ G4RdqDSm6Z"" calls 40",2021-10-29T01:58:36.074Z,163547271607400
"""Stevo @ aL5upxHjBA"" folds",2021-10-29T01:58:34.712Z,163547271471200
"""Jonah @ KdrqU8EIQ1"" raises to 40",2021-10-29T01:58:33.746Z,163547271374600
"""geereooeregee @ G4RdqDSm6Z"" bets 20",2021-10-29T01:58:31.906Z,163547271190600
"""Stevo @ aL5upxHjBA"" checks",2021-10-29T01:58:30.598Z,163547271059800
"Turn: 7♥, 9♥, Q♣ [K♣]",2021-10-29T01:58:29.427Z,163547270942700
"""Jonah @ KdrqU8EIQ1"" calls 20",2021-10-29T01:58:28.615Z,163547270861500
"""geereooeregee @ G4RdqDSm6Z"" calls 20",2021-10-29T01:58:26.208Z,163547270620800
"""Stevo @ aL5upxHjBA"" bets 20",2021-10-29T01:58:25.148Z,163547270514800
"Flop:  [7♥, 9♥, Q♣]",2021-10-29T01:58:23.634Z,163547270363400
"""geereooeregee @ G4RdqDSm6Z"" checks",2021-10-29T01:58:22.826Z,163547270282600
"""Stevo @ aL5upxHjBA"" calls 20",2021-10-29T01:58:20.969Z,163547270096900
"""Spenny @ cu8vqwqurV"" folds",2021-10-29T01:58:20.060Z,163547270006000
"""arash @ huBdniBdCU"" folds",2021-10-29T01:58:16.289Z,163547269628900
"""Jonah @ KdrqU8EIQ1"" calls 20",2021-10-29T01:58:14.993Z,163547269499300
"""geereooeregee @ G4RdqDSm6Z"" posts a big blind of 20",2021-10-29T01:58:13.880Z,163547269388008
"""Stevo @ aL5upxHjBA"" posts a small blind of 10",2021-10-29T01:58:13.880Z,163547269388007
"Your hand is 2♦, 4♠",2021-10-29T01:58:13.880Z,163547269388004
"Player stacks: #1 ""geereooeregee @ G4RdqDSm6Z"" (760) | #2 ""Jonah @ KdrqU8EIQ1"" (2360) | #7 ""arash @ huBdniBdCU"" (2270) | #9 ""Spenny @ cu8vqwqurV"" (3100) | #10 ""Stevo @ aL5upxHjBA"" (830)",2021-10-29T01:58:13.880Z,163547269388001
"-- starting hand #82  (No Limit Texas Hold'em) (dealer: ""Spenny @ cu8vqwqurV"") --",2021-10-29T01:58:13.880Z,163547269388000
"-- ending hand #81 --",2021-10-29T01:58:07.860Z,163547268786002
"""Jonah @ KdrqU8EIQ1"" collected 320 from pot with Pair, J's (combination: J♦, J♥, K♥, 7♣, 6♣)",2021-10-29T01:58:07.860Z,163547268786001
"""Jonah @ KdrqU8EIQ1"" shows a 7♣, J♦.",2021-10-29T01:58:07.860Z,163547268786000
"""Spenny @ cu8vqwqurV"" calls 20",2021-10-29T01:58:07.054Z,163547268705400
"""arash @ huBdniBdCU"" calls 20",2021-10-29T01:58:00.365Z,163547268036500
"""Jonah @ KdrqU8EIQ1"" bets 20",2021-10-29T01:57:57.180Z,163547267718000
"""Spenny @ cu8vqwqurV"" checks",2021-10-29T01:57:55.252Z,163547267525200
"River: 3♦, J♥, K♥, 6♣ [4♣]",2021-10-29T01:57:53.516Z,163547267351600
"""arash @ huBdniBdCU"" checks",2021-10-29T01:57:52.694Z,163547267269400
"""Jonah @ KdrqU8EIQ1"" checks",2021-10-29T01:57:51.669Z,163547267166900
"""Spenny @ cu8vqwqurV"" checks",2021-10-29T01:57:49.901Z,163547266990100
"Turn: 3♦, J♥, K♥ [6♣]",2021-10-29T01:57:47.827Z,163547266782700
"""arash @ huBdniBdCU"" calls 20",2021-10-29T01:57:47.020Z,163547266702000
"""Jonah @ KdrqU8EIQ1"" calls 20",2021-10-29T01:57:46.110Z,163547266611000
"""geereooeregee @ G4RdqDSm6Z"" folds",2021-10-29T01:57:45.223Z,163547266522300
"""Stevo @ aL5upxHjBA"" folds",2021-10-29T01:57:40.848Z,163547266084800
"""Spenny @ cu8vqwqurV"" bets 20",2021-10-29T01:57:39.943Z,163547265994300
"Flop:  [3♦, J♥, K♥]",2021-10-29T01:57:31.546Z,163547265154600
"""Spenny @ cu8vqwqurV"" calls 40",2021-10-29T01:57:30.739Z,163547265073900
"""arash @ huBdniBdCU"" calls 40",2021-10-29T01:57:25.294Z,163547264529400
"""Jonah @ KdrqU8EIQ1"" calls 40",2021-10-29T01:57:24.355Z,163547264435500
"""geereooeregee @ G4RdqDSm6Z"" calls 40",2021-10-29T01:57:23.496Z,163547264349600
"""Stevo @ aL5upxHjBA"" raises to 40",2021-10-29T01:57:21.576Z,163547264157600
"""Spenny @ cu8vqwqurV"" calls 20",2021-10-29T01:57:19.451Z,163547263945100
"""arash @ huBdniBdCU"" calls 20",2021-10-29T01:57:16.262Z,163547263626200
"""Jonah @ KdrqU8EIQ1"" calls 20",2021-10-29T01:57:15.343Z,163547263534300
"""geereooeregee @ G4RdqDSm6Z"" calls 20",2021-10-29T01:57:14.489Z,163547263448900
"""Stevo @ aL5upxHjBA"" posts a big blind of 20",2021-10-29T01:57:13.285Z,163547263328508
"""Spenny @ cu8vqwqurV"" posts a small blind of 10",2021-10-29T01:57:13.285Z,163547263328507
"Your hand is A♠, 4♠",2021-10-29T01:57:13.285Z,163547263328504
"Player stacks: #1 ""geereooeregee @ G4RdqDSm6Z"" (800) | #2 ""Jonah @ KdrqU8EIQ1"" (2120) | #7 ""arash @ huBdniBdCU"" (2350) | #9 ""Spenny @ cu8vqwqurV"" (3180) | #10 ""Stevo @ aL5upxHjBA"" (870)",2021-10-29T01:57:13.285Z,163547263328501
"-- starting hand #81  (No Limit Texas Hold'em) (dealer: ""arash @ huBdniBdCU"") --",2021-10-29T01:57:13.285Z,163547263328500
"""geereooeregee @ G4RdqDSm6Z"" shows a 3♥, Q♥.",2021-10-29T01:57:10.010Z,163547263001000
"""Stevo @ aL5upxHjBA"" shows a 8♦, 4♦.",2021-10-29T01:57:07.448Z,163547262744800
"-- ending hand #80 --",2021-10-29T01:57:06.263Z,163547262626302
"""Spenny @ cu8vqwqurV"" collected 480 from pot with Three of a Kind, 8's (combination: 8♠, 8♥, 8♣, K♦, J♦)",2021-10-29T01:57:06.263Z,163547262626301
"""Spenny @ cu8vqwqurV"" shows a K♦, 8♠.",2021-10-29T01:57:06.263Z,163547262626300
"""geereooeregee @ G4RdqDSm6Z"" folds",2021-10-29T01:57:05.451Z,163547262545100
"""Stevo @ aL5upxHjBA"" calls 80",2021-10-29T01:57:04.547Z,163547262454700
"""Spenny @ cu8vqwqurV"" bets 80",2021-10-29T01:57:01.549Z,163547262154900
"River: 3♠, 8♥, 8♣, 9♥ [J♦]",2021-10-29T01:56:56.250Z,163547261625000
"""arash @ huBdniBdCU"" folds",2021-10-29T01:56:55.422Z,163547261542200
"""Jonah @ KdrqU8EIQ1"" folds",2021-10-29T01:56:53.603Z,163547261360300
"""geereooeregee @ G4RdqDSm6Z"" calls 40",2021-10-29T01:56:52.741Z,163547261274100
"""Stevo @ aL5upxHjBA"" calls 40",2021-10-29T01:56:51.893Z,163547261189300
"""Spenny @ cu8vqwqurV"" bets 40",2021-10-29T01:56:50.406Z,163547261040600
"""arash @ huBdniBdCU"" checks",2021-10-29T01:56:47.359Z,163547260735900
"Turn: 3♠, 8♥, 8♣ [9♥]",2021-10-29T01:56:45.767Z,163547260576700
"""arash @ huBdniBdCU"" calls 20",2021-10-29T01:56:44.953Z,163547260495300
"""Jonah @ KdrqU8EIQ1"" calls 20",2021-10-29T01:56:42.669Z,163547260266900
"""geereooeregee @ G4RdqDSm6Z"" calls 20",2021-10-29T01:56:40.668Z,163547260066800
"""Stevo @ aL5upxHjBA"" calls 20",2021-10-29T01:56:39.820Z,163547259982000
"""Spenny @ cu8vqwqurV"" bets 20",2021-10-29T01:56:38.807Z,163547259880700
"""arash @ huBdniBdCU"" checks",2021-10-29T01:56:32.763Z,163547259276300
"Flop:  [3♠, 8♥, 8♣]",2021-10-29T01:56:30.843Z,163547259084300
"""Spenny @ cu8vqwqurV"" checks",2021-10-29T01:56:30.030Z,163547259003000
"""arash @ huBdniBdCU"" calls 20",2021-10-29T01:56:29.121Z,163547258912100
"""Jonah @ KdrqU8EIQ1"" calls 20",2021-10-29T01:56:26.863Z,163547258686300
"""geereooeregee @ G4RdqDSm6Z"" calls 20",2021-10-29T01:56:25.980Z,163547258598000
"""Stevo @ aL5upxHjBA"" calls 20",2021-10-29T01:56:25.139Z,163547258513900
"""Spenny @ cu8vqwqurV"" posts a big blind of 20",2021-10-29T01:56:24.165Z,163547258416508
"""arash @ huBdniBdCU"" posts a small blind of 10",2021-10-29T01:56:24.165Z,163547258416507
"Your hand is Q♣, 4♠",2021-10-29T01:56:24.165Z,163547258416504
"Player stacks: #1 ""geereooeregee @ G4RdqDSm6Z"" (880) | #2 ""Jonah @ KdrqU8EIQ1"" (2160) | #7 ""arash @ huBdniBdCU"" (2390) | #9 ""Spenny @ cu8vqwqurV"" (2860) | #10 ""Stevo @ aL5upxHjBA"" (1030)",2021-10-29T01:56:24.165Z,163547258416501
"-- starting hand #80  (No Limit Texas Hold'em) (dealer: ""Jonah @ KdrqU8EIQ1"") --",2021-10-29T01:56:24.165Z,163547258416500
"-- ending hand #79 --",2021-10-29T01:56:18.119Z,163547257811902
"""Jonah @ KdrqU8EIQ1"" collected 260 from pot with Pair, 7's (combination: 7♠, 7♣, K♥, J♠, 8♦)",2021-10-29T01:56:18.119Z,163547257811901
"""Jonah @ KdrqU8EIQ1"" shows a 3♠, 7♠.",2021-10-29T01:56:18.119Z,163547257811900
"""Stevo @ aL5upxHjBA"" calls 20",2021-10-29T01:56:17.312Z,163547257731200
"""Jonah @ KdrqU8EIQ1"" bets 20",2021-10-29T01:56:16.090Z,163547257609000
"River: K♥, 2♦, 7♣, J♠ [8♦]",2021-10-29T01:56:14.330Z,163547257433000
"""Stevo @ aL5upxHjBA"" calls 40",2021-10-29T01:56:13.521Z,163547257352100
"""Jonah @ KdrqU8EIQ1"" raises to 40",2021-10-29T01:56:12.063Z,163547257206300
"""Stevo @ aL5upxHjBA"" bets 20",2021-10-29T01:56:08.974Z,163547256897400
"""Jonah @ KdrqU8EIQ1"" checks",2021-10-29T01:56:06.591Z,163547256659100
"Turn: K♥, 2♦, 7♣ [J♠]",2021-10-29T01:56:02.987Z,163547256298700
"""Stevo @ aL5upxHjBA"" calls 40",2021-10-29T01:56:02.178Z,163547256217800
"""arash @ huBdniBdCU"" folds",2021-10-29T01:56:00.666Z,163547256066600
"""Jonah @ KdrqU8EIQ1"" bets 40",2021-10-29T01:55:58.909Z,163547255890900
"Flop:  [K♥, 2♦, 7♣]",2021-10-29T01:55:54.761Z,163547255476100
"""arash @ huBdniBdCU"" checks",2021-10-29T01:55:53.953Z,163547255395300
"""Jonah @ KdrqU8EIQ1"" calls 20",2021-10-29T01:55:52.798Z,163547255279800
"""geereooeregee @ G4RdqDSm6Z"" folds",2021-10-29T01:55:51.940Z,163547255194000
"""Stevo @ aL5upxHjBA"" calls 20",2021-10-29T01:55:50.462Z,163547255046200
"""Spenny @ cu8vqwqurV"" folds",2021-10-29T01:55:49.495Z,163547254949500
"""arash @ huBdniBdCU"" posts a big blind of 20",2021-10-29T01:55:45.194Z,163547254519408
"""Jonah @ KdrqU8EIQ1"" posts a small blind of 10",2021-10-29T01:55:45.194Z,163547254519407
"Your hand is 10♥, 2♠",2021-10-29T01:55:45.194Z,163547254519404
"Player stacks: #1 ""geereooeregee @ G4RdqDSm6Z"" (880) | #2 ""Jonah @ KdrqU8EIQ1"" (2020) | #7 ""arash @ huBdniBdCU"" (2410) | #9 ""Spenny @ cu8vqwqurV"" (2860) | #10 ""Stevo @ aL5upxHjBA"" (1150)",2021-10-29T01:55:45.194Z,163547254519401
"-- starting hand #79  (No Limit Texas Hold'em) (dealer: ""geereooeregee @ G4RdqDSm6Z"") --",2021-10-29T01:55:45.194Z,163547254519400
"-- ending hand #78 --",2021-10-29T01:55:42.251Z,163547254225102
"""arash @ huBdniBdCU"" collected 280 from pot",2021-10-29T01:55:42.251Z,163547254225101
"Uncalled bet of 60 returned to ""arash @ huBdniBdCU""",2021-10-29T01:55:42.251Z,163547254225100
"""Jonah @ KdrqU8EIQ1"" folds",2021-10-29T01:55:41.443Z,163547254144300
"""arash @ huBdniBdCU"" raises to 80",2021-10-29T01:55:38.930Z,163547253893000
"""Jonah @ KdrqU8EIQ1"" bets 20",2021-10-29T01:55:32.049Z,163547253204900
"River: A♥, 8♦, 2♣, 10♣ [4♣]",2021-10-29T01:55:28.883Z,163547252888300
"""Stevo @ aL5upxHjBA"" folds",2021-10-29T01:55:28.075Z,163547252807500
"""arash @ huBdniBdCU"" calls 20",2021-10-29T01:55:26.283Z,163547252628300
"""Jonah @ KdrqU8EIQ1"" bets 20",2021-10-29T01:55:24.661Z,163547252466100
"Turn: A♥, 8♦, 2♣ [10♣]",2021-10-29T01:55:18.446Z,163547251844600
"""arash @ huBdniBdCU"" calls 40",2021-10-29T01:55:17.638Z,163547251763800
"""Jonah @ KdrqU8EIQ1"" calls 40",2021-10-29T01:55:16.100Z,163547251610000
"""geereooeregee @ G4RdqDSm6Z"" folds",2021-10-29T01:55:08.891Z,163547250889100
"""Stevo @ aL5upxHjBA"" bets 40",2021-10-29T01:55:07.896Z,163547250789600
"""arash @ huBdniBdCU"" checks",2021-10-29T01:55:05.774Z,163547250577400
"""Jonah @ KdrqU8EIQ1"" checks",2021-10-29T01:55:03.873Z,163547250387300
"""geereooeregee @ G4RdqDSm6Z"" checks",2021-10-29T01:55:02.000Z,163547250200000
"Flop:  [A♥, 8♦, 2♣]",2021-10-29T01:54:59.610Z,163547249961000
"""Jonah @ KdrqU8EIQ1"" checks",2021-10-29T01:54:58.800Z,163547249880000
"""geereooeregee @ G4RdqDSm6Z"" calls 20",2021-10-29T01:54:57.946Z,163547249794600
"""Stevo @ aL5upxHjBA"" calls 20",2021-10-29T01:54:57.100Z,163547249710000
"""Spenny @ cu8vqwqurV"" folds",2021-10-29T01:54:56.096Z,163547249609600
"""arash @ huBdniBdCU"" calls 20",2021-10-29T01:54:53.113Z,163547249311300
"""Jonah @ KdrqU8EIQ1"" posts a big blind of 20",2021-10-29T01:54:51.833Z,163547249183308
"""geereooeregee @ G4RdqDSm6Z"" posts a small blind of 10",2021-10-29T01:54:51.833Z,163547249183307
"Your hand is A♣, 4♥",2021-10-29T01:54:51.833Z,163547249183304
"Player stacks: #1 ""geereooeregee @ G4RdqDSm6Z"" (900) | #2 ""Jonah @ KdrqU8EIQ1"" (2120) | #7 ""arash @ huBdniBdCU"" (2230) | #9 ""Spenny @ cu8vqwqurV"" (2860) | #10 ""Stevo @ aL5upxHjBA"" (1210)",2021-10-29T01:54:51.833Z,163547249183301
"-- starting hand #78  (No Limit Texas Hold'em) (dealer: ""Stevo @ aL5upxHjBA"") --",2021-10-29T01:54:51.833Z,163547249183300
"-- ending hand #77 --",2021-10-29T01:54:45.826Z,163547248582602
"""Stevo @ aL5upxHjBA"" collected 160 from pot with Two Pair, 10's & 5's (combination: 10♣, 10♠, 5♠, 5♣, A♥)",2021-10-29T01:54:45.826Z,163547248582601
"""Stevo @ aL5upxHjBA"" shows a 2♠, 5♠.",2021-10-29T01:54:45.826Z,163547248582600
"""Spenny @ cu8vqwqurV"" calls 20",2021-10-29T01:54:45.017Z,163547248501700
"""arash @ huBdniBdCU"" folds",2021-10-29T01:54:40.367Z,163547248036700
"""Jonah @ KdrqU8EIQ1"" calls 20",2021-10-29T01:54:39.455Z,163547247945500
"""geereooeregee @ G4RdqDSm6Z"" folds",2021-10-29T01:54:38.590Z,163547247859000
"""Stevo @ aL5upxHjBA"" bets 20",2021-10-29T01:54:30.300Z,163547247030000
"River: A♥, 3♠, 10♣, 5♣ [10♠]",2021-10-29T01:54:28.921Z,163547246892100
"""Spenny @ cu8vqwqurV"" checks",2021-10-29T01:54:28.107Z,163547246810700
"""arash @ huBdniBdCU"" checks",2021-10-29T01:54:24.930Z,163547246493000
"""Jonah @ KdrqU8EIQ1"" checks",2021-10-29T01:54:23.142Z,163547246314200
"""geereooeregee @ G4RdqDSm6Z"" checks",2021-10-29T01:54:22.289Z,163547246228900
"""Stevo @ aL5upxHjBA"" checks",2021-10-29T01:54:20.624Z,163547246062400
"Turn: A♥, 3♠, 10♣ [5♣]",2021-10-29T01:54:17.950Z,163547245795000
"""Spenny @ cu8vqwqurV"" checks",2021-10-29T01:54:17.145Z,163547245714500
"""arash @ huBdniBdCU"" checks",2021-10-29T01:54:12.364Z,163547245236400
"""Jonah @ KdrqU8EIQ1"" checks",2021-10-29T01:54:09.187Z,163547244918700
"""geereooeregee @ G4RdqDSm6Z"" checks",2021-10-29T01:54:07.426Z,163547244742600
"""Stevo @ aL5upxHjBA"" checks",2021-10-29T01:54:06.515Z,163547244651500
"Flop:  [A♥, 3♠, 10♣]",2021-10-29T01:54:04.873Z,163547244487300
"""geereooeregee @ G4RdqDSm6Z"" checks",2021-10-29T01:54:04.066Z,163547244406600
"""Stevo @ aL5upxHjBA"" calls 20",2021-10-29T01:54:02.327Z,163547244232700
"""Spenny @ cu8vqwqurV"" calls 20",2021-10-29T01:54:01.334Z,163547244133400
"""arash @ huBdniBdCU"" calls 20",2021-10-29T01:53:59.078Z,163547243907800
"""Jonah @ KdrqU8EIQ1"" calls 20",2021-10-29T01:53:57.068Z,163547243706800
"""geereooeregee @ G4RdqDSm6Z"" posts a big blind of 20",2021-10-29T01:53:55.249Z,163547243524908
"""Stevo @ aL5upxHjBA"" posts a small blind of 10",2021-10-29T01:53:55.249Z,163547243524907
"Your hand is J♦, 4♠",2021-10-29T01:53:55.249Z,163547243524904
"Player stacks: #1 ""geereooeregee @ G4RdqDSm6Z"" (920) | #2 ""Jonah @ KdrqU8EIQ1"" (2160) | #7 ""arash @ huBdniBdCU"" (2250) | #9 ""Spenny @ cu8vqwqurV"" (2900) | #10 ""Stevo @ aL5upxHjBA"" (1090)",2021-10-29T01:53:55.249Z,163547243524901
"-- starting hand #77  (No Limit Texas Hold'em) (dealer: ""Spenny @ cu8vqwqurV"") --",2021-10-29T01:53:55.249Z,163547243524900
"-- ending hand #76 --",2021-10-29T01:53:49.201Z,163547242920102
"""Spenny @ cu8vqwqurV"" collected 240 from pot with Pair, K's (combination: K♥, K♣, A♥, 10♠, 9♦)",2021-10-29T01:53:49.201Z,163547242920101
"""Spenny @ cu8vqwqurV"" shows a K♥, K♣.",2021-10-29T01:53:49.201Z,163547242920100
"""arash @ huBdniBdCU"" folds",2021-10-29T01:53:48.394Z,163547242839400
"""Jonah @ KdrqU8EIQ1"" calls 20",2021-10-29T01:53:41.696Z,163547242169600
"""Spenny @ cu8vqwqurV"" bets 20",2021-10-29T01:53:39.567Z,163547241956700
"River: 2♠, A♥, 4♦, 10♠ [9♦]",2021-10-29T01:53:35.669Z,163547241566900
"""Spenny @ cu8vqwqurV"" calls 20",2021-10-29T01:53:34.852Z,163547241485200
"""arash @ huBdniBdCU"" calls 20",2021-10-29T01:53:28.071Z,163547240807100
"""Jonah @ KdrqU8EIQ1"" bets 20",2021-10-29T01:53:26.556Z,163547240655600
"""Spenny @ cu8vqwqurV"" checks",2021-10-29T01:53:21.864Z,163547240186400
"Turn: 2♠, A♥, 4♦ [10♠]",2021-10-29T01:53:17.482Z,163547239748200
"""arash @ huBdniBdCU"" calls 20",2021-10-29T01:53:16.662Z,163547239666200
"""Jonah @ KdrqU8EIQ1"" calls 20",2021-10-29T01:53:15.403Z,163547239540300
"""Stevo @ aL5upxHjBA"" folds",2021-10-29T01:53:11.966Z,163547239196600
"""Spenny @ cu8vqwqurV"" bets 20",2021-10-29T01:53:11.033Z,163547239103300
"Flop:  [2♠, A♥, 4♦]",2021-10-29T01:53:03.894Z,163547238389400
"""Stevo @ aL5upxHjBA"" checks",2021-10-29T01:53:03.086Z,163547238308600
"""Spenny @ cu8vqwqurV"" calls 20",2021-10-29T01:53:02.176Z,163547238217600
